id,artist,member,gender_group,group_type,appearance,position,vibe,relationship,url,source_url
aespa-karina,aespa,KARINA,female,girl_group,貓咪|狐狸,Dance|Rap|Visual|All-rounder,冷感|霸氣|反差,神性|舞台支配感,https://www.youtube.com/results?search_query=aespa+Karina,https://kprofiles.com/aespa-profile/
aespa-giselle,aespa,GISELLE,female,girl_group,貓咪,Rap|Vocal,冷感|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=aespa+Giselle,https://kprofiles.com/aespa-profile/
aespa-winter,aespa,WINTER,female,girl_group,小兔|貓咪,Vocal|Dance|Visual,清冷|反差,白月光感|神性,https://www.youtube.com/results?search_query=aespa+Winter,https://kprofiles.com/aespa-profile/
aespa-ningning,aespa,NINGNING,female,girl_group,貓咪,Vocal|All-rounder,甜系|霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=aespa+Ningning,https://kprofiles.com/aespa-profile/
ive-yujin,IVE,YUJIN,female,girl_group,狗狗,Vocal|Dance|All-rounder,霸氣|反差,朋友感|舞台支配感,https://www.youtube.com/results?search_query=IVE+Yujin,https://kprofiles.com/ive-members-profile/
ive-gaeul,IVE,GAEUL,female,girl_group,狐狸,Dance|Rap,冷感|清冷,舞台支配感|神性,https://www.youtube.com/results?search_query=IVE+Gaeul,https://kprofiles.com/ive-members-profile/
ive-rei,IVE,REI,female,girl_group,小兔|貓咪,Rap|Vocal,甜系|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=IVE+Rei,https://kprofiles.com/ive-members-profile/
ive-wonyoung,IVE,WONYOUNG,female,girl_group,小兔|小鹿,Vocal|Visual,甜系|清冷,白月光感|神性,https://www.youtube.com/results?search_query=IVE+Wonyoung,https://kprofiles.com/ive-members-profile/
ive-liz,IVE,LIZ,female,girl_group,貓咪,Vocal,甜系|反差,朋友感|戀愛感,https://www.youtube.com/results?search_query=IVE+Liz,https://kprofiles.com/ive-members-profile/
ive-leeseo,IVE,LEESEO,female,girl_group,小鹿|小兔,Vocal|Dance|Visual,甜系|反差,白月光感|朋友感,https://www.youtube.com/results?search_query=IVE+Leeseo,https://kprofiles.com/ive-members-profile/
